Time,Power_on_conv,Power_on_convmodel,Iset,Treal,T,Preal,P,Freal,F,Icoil,Ireal,
2021 04 22_11:55:09:550985 ,1.0,1.0,30.0,23.4,-20,1025.0,-1,14.299999999999999,25164.60605224352,3000.0,30.3
2021 04 22_11:55:09:659814 ,1.0,1.0,30.0,23.4,-20,1025.0,-1,14.399999999999999,25164.60605224352,3000.0,30.3
2021 04 22_11:55:09:767820 ,1.0,1.0,30.0,23.4,-20,1025.0,-1,14.399999999999999,25164.60605224352,3000.0,30.3
2021 04 22_11:55:09:875306 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.299999999999999,25164.60605224352,3000.0,30.3
2021 04 22_11:55:09:985374 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.399999999999999,25164.60605224352,3000.0,30.3
2021 04 22_11:55:10:095016 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.399999999999999,25164.60605224352,3000.0,30.6
2021 04 22_11:55:10:201234 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.399999999999999,25164.60605224352,3000.0,30.6
2021 04 22_11:55:10:309645 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.299999999999999,25164.60605224352,3000.0,30.3
2021 04 22_11:55:10:419386 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.299999999999999,25164.60605224352,3000.0,30.3
2021 04 22_11:55:10:527743 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.399999999999999,25164.60605224352,3000.0,30.3
2021 04 22_11:55:10:636417 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.399999999999999,25164.60605224352,3000.0,30.3
2021 04 22_11:55:10:744768 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.299999999999999,25164.60605224352,3000.0,30.6
2021 04 22_11:55:10:854072 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.299999999999999,25164.60605224352,3000.0,30.6
2021 04 22_11:55:10:961757 ,1.0,1.0,30.0,23.5,-20,1025.0,-1,14.299999999999999,25164.60605224352,3000.0,30.3
