Time,Power_on_conv,Power_on_convmodel,Iset,Treal,T,Preal,P,Freal,F,Icoil,Ireal,
2021 04 22_16:20:39:469105 ,0.0,0.0,0.0,17.7,-20,50.0,-1,49.800000000000004,-1,-1,0.3
2021 04 22_16:20:39:575759 ,1.0,1.0,30.0,17.7,-20,50.0,-1,49.800000000000004,-1,-1,0.3
2021 04 22_16:20:39:685079 ,1.0,1.0,30.0,17.7,-20,775.0,-1,32.0,-1,-1,30.3
2021 04 22_16:20:39:794837 ,1.0,1.0,30.0,17.7,-20,1800.0,-1,32.3,-1,-1,30.3
2021 04 22_16:20:39:903111 ,1.0,1.0,30.0,17.9,-20,1800.0,-1,32.3,-1,-1,30.3
2021 04 22_16:20:40:013546 ,1.0,1.0,30.0,18.2,-20,1875.0,-1,32.1,-1,-1,30.3
2021 04 22_16:20:40:123688 ,1.0,1.0,30.0,18.7,-20,1875.0,-1,32.3,-1,-1,30.3
2021 04 22_16:20:40:233118 ,1.0,1.0,30.0,19.3,-20,1875.0,-1,32.0,-1,-1,30.3
2021 04 22_16:20:40:340690 ,1.0,1.0,30.0,20.0,-20,1875.0,-1,31.299999999999997,-1,-1,30.3
2021 04 22_16:20:40:450500 ,1.0,1.0,30.0,20.6,-20,1875.0,-1,31.5,-1,-1,30.3
2021 04 22_16:20:40:562208 ,1.0,1.0,30.0,21.5,-20,1875.0,-1,31.5,-1,-1,30.3
2021 04 22_16:20:40:671203 ,1.0,1.0,30.0,22.3,-20,1875.0,-1,32.3,-1,-1,30.3
2021 04 22_16:20:40:780680 ,1.0,1.0,30.0,23.2,-20,1925.0,-1,31.8,-1,-1,30.3
2021 04 22_16:20:40:889732 ,1.0,1.0,30.0,25.3,-20,1875.0,-1,31.299999999999997,-1,-1,30.3
2021 04 22_16:20:40:999146 ,1.0,1.0,30.0,26.4,-20,1875.0,-1,32.400000000000006,-1,-1,30.15
2021 04 22_16:20:41:108316 ,1.0,1.0,30.0,27.5,-20,1875.0,-1,31.5,-1,-1,30.3
2021 04 22_16:20:41:218320 ,1.0,1.0,30.0,28.8,-20,1925.0,-1,32.0,-1,-1,30.3
